--- LOC REPORT ---
CAPA       | CLASE                          | N LINEAS   | BLANK      | COMMENT    | LOC  
------------------------------------------------------------------------------------------
NEGOCIO    | controller/auth.php            | 155        | 23         | 41         | 91   
NEGOCIO    | controller/boleta.php          | 279        | 47         | 29         | 203  
NEGOCIO    | controller/categoria.php       | 124        | 14         | 11         | 99   
NEGOCIO    | controller/cliente.php         | 260        | 27         | 12         | 221  
NEGOCIO    | controller/comprobante.php     | 327        | 47         | 20         | 260  
NEGOCIO    | controller/estadohabitacion.php | 121        | 14         | 6          | 101  
NEGOCIO    | controller/factura.php         | 161        | 30         | 22         | 109  
NEGOCIO    | controller/habitacion.php      | 386        | 41         | 33         | 312  
NEGOCIO    | controller/menu.php            | 49         | 5          | 6          | 38   
NEGOCIO    | controller/piso.php            | 131        | 15         | 12         | 104  
NEGOCIO    | controller/producto.php        | 134        | 12         | 12         | 110  
NEGOCIO    | controller/recepcion.php       | 215        | 19         | 27         | 169  
NEGOCIO    | controller/reporte.php         | 104        | 17         | 4          | 83   
NEGOCIO    | controller/rol.php             | 133        | 14         | 15         | 104  
NEGOCIO    | controller/tarifa.php          | 280        | 28         | 20         | 232  
NEGOCIO    | controller/usuario.php         | 229        | 21         | 27         | 181  
NEGOCIO    | controller/venta.php           | 213        | 13         | 17         | 183  
DATOS      | models/Boleta.php              | 961        | 164        | 146        | 651  
DATOS      | models/Categoria.php           | 106        | 12         | 10         | 84   
DATOS      | models/Cliente.php             | 131        | 13         | 13         | 105  
DATOS      | models/Dashboard.php           | 250        | 36         | 37         | 177  
DATOS      | models/EstadoHabitacion.php    | 113        | 10         | 11         | 92   
DATOS      | models/Factura.php             | 788        | 112        | 100        | 576  
DATOS      | models/Habitacion.php          | 151        | 13         | 13         | 125  
DATOS      | models/Menu.php                | 55         | 5          | 5          | 45   
DATOS      | models/Piso.php                | 106        | 12         | 10         | 84   
DATOS      | models/Producto.php            | 112        | 12         | 10         | 90   
DATOS      | models/Recepcion.php           | 162        | 11         | 12         | 139  
DATOS      | models/Reporte.php             | 704        | 91         | 78         | 535  
DATOS      | models/Rol.php                 | 137        | 16         | 12         | 109  
DATOS      | models/Tarifa.php              | 148        | 13         | 13         | 122  
DATOS      | models/Usuario.php             | 192        | 24         | 28         | 140  
DATOS      | models/Venta.php               | 416        | 54         | 46         | 316  

--- COMPLEXITY REPORT ---
CAPA       | CLASE                          | METODO                              | CC   
------------------------------------------------------------------------------------------
NEGOCIO    | controller/auth.php            | __construct                         | 1    
NEGOCIO    | controller/auth.php            | login                               | 8    
NEGOCIO    | controller/auth.php            | validateLoginInput                  | 8    
NEGOCIO    | controller/auth.php            | authenticateUser                    | 3    
NEGOCIO    | controller/auth.php            | setUserSession                      | 1    
NEGOCIO    | controller/auth.php            | redirectToHome                      | 1    
NEGOCIO    | controller/auth.php            | redirectWithError                   | 2    
NEGOCIO    | controller/auth.php            | logout                              | 1    
NEGOCIO    | controller/auth.php            | isAuthenticated                     | 1    
NEGOCIO    | controller/auth.php            | getCurrentUser                      | 2    
NEGOCIO    | controller/comprobante.php     | exportarExcel                       | 4    
NEGOCIO    | controller/comprobante.php     | exportarPDFReporte                  | 2    
NEGOCIO    | controller/comprobante.php     | generarHTMLReporte                  | 15   
NEGOCIO    | controller/factura.php         | __construct                         | 1    
NEGOCIO    | controller/factura.php         | emitir                              | 29   
NEGOCIO    | controller/factura.php         | pdf                                 | 9    
NEGOCIO    | controller/factura.php         | consultar                           | 8    
DATOS      | models/Boleta.php              | verificarBoleta                     | 2    
DATOS      | models/Boleta.php              | generarBoleta                       | 8    
DATOS      | models/Boleta.php              | configurarSee                       | 1    
DATOS      | models/Boleta.php              | crearCliente                        | 3    
DATOS      | models/Boleta.php              | crearEmpresa                        | 1    
DATOS      | models/Boleta.php              | crearInvoice                        | 2    
DATOS      | models/Boleta.php              | crearDetalles                       | 2    
DATOS      | models/Boleta.php              | obtenerSiguienteCorrelativo         | 2    
DATOS      | models/Boleta.php              | extraerHashDelXML                   | 4    
DATOS      | models/Boleta.php              | guardarBoletaCompleta               | 57   
DATOS      | models/Boleta.php              | generarPDF                          | 40   
DATOS      | models/Boleta.php              | guardarPDFEnStorage                 | 5    
DATOS      | models/Boleta.php              | guardarXMLEnStorage                 | 5    
DATOS      | models/Boleta.php              | guardarCDREnStorage                 | 5    
DATOS      | models/Boleta.php              | descargarXML                        | 7    
DATOS      | models/Boleta.php              | descargarCDR                        | 7    
DATOS      | models/Boleta.php              | descargarPDF                        | 6    
DATOS      | models/Boleta.php              | numeroALetras                       | 10   
DATOS      | models/Boleta.php              | listarComprobantes                  | 6    
DATOS      | models/Boleta.php              | obtenerResumenComprobantes          | 6    
DATOS      | models/Boleta.php              | obtenerComprobantePorId             | 4    
DATOS      | models/Boleta.php              | obtenerDetallesComprobante          | 4    
